"","Ingredient","Unit","mean"
"1","all purpose flour","cup",3.68870593128571
"2","almond extract","teaspoon",0.0142857142809524
"3","almonds","cup",0.0111111111095238
"4","applesauce","cup",0.00238095238095238
"5","baking powder","teaspoon",0.399843833409524
"6","baking soda","teaspoon",1.4416491984619
"7","bourbon","tablespoon",0.019047619047619
"8","bread flour","cup",0.0976711111142857
"9","brown rice flour","cup",0.00634920634761905
"10","brown sugar","cup",1.44501954702857
"11","butter","cup",1.16022693098571
"12","cake flour","cup",0.0817460317428571
"13","cake mix","ounce",0.376585714285714
"14","chocolate chip","cup",2.48513224327982
"15","cinnamon","teaspoon",0.0274603174619048
"16","coconut","cup",0.00634920634761905
"17","coconut extract","teaspoon",0.019047619047619
"18","cookie mix","cup",0.0126984127
"19","coriander","teaspoon",0.00114285714285714
"20","corn syrup","cup",0.00357142857142857
"21","cornstarch","teaspoon",0.136190476185714
"22","cream","teaspoon",0.00634920634761905
"23","crispy rice","cup",0.00936507936666667
"24","egg","egg",2.85500814645755
"25","graham cracker","cup",0.00175824175714286
"26","honey","cup",0.00343912698571429
"27","instant coffee","teaspoon",0.0476190476190476
"28","lemon","teaspoon",0.00571428571428571
"29","liquer","teaspoon",0.0952380952380952
"30","macadmia","cup",0.00476190476190476
"31","maple","tablespoon",0.0320879120857143
"32","margarine","cup",0.0494566544571429
"33","marshmallows","cup",0.00952380952380952
"34","milk","tablespoon",2.54564026842857
"35","molasses","tablespoon",0.00476190476190476
"36","nestle","cup",0.0019047619047619
"37","nutmeg","teaspoon",0.00203571428571429
"38","nuts","cup",0.0509956709952381
"39","oat","cup",0.227593517595238
"40","other","cup",0.00380952380952381
"41","peanut butter","cup",0.00634920635238095
"42","peanut butter chips","cup",0.00211640211428571
"43","pecan","cup",0.0788775510190476
"44","pudding mix","ounce",0.042857142852381
"45","raisins","cup",0.0253968253952381
"46","salt","teaspoon",1.76037213551905
"47","shortening","cup",0.158934240361905
"48","sour cream","tablespoon",0.0876190476190476
"49","sugar","cup",1.20356433466667
"50","tartar","teaspoon",0.0269841269857143
"51","toffee","cup",0.0219047619047619
"52","vanilla","teaspoon",3.05649228757143
"53","vegetable oil","cup",0.0231867814428571
"54","vegetable oil","tablespoon",0.140647619047619
"55","vinegar ","teaspoon",0.0190476190428571
"56","walnut","cup",0.322060267766667
"57","water","cup",0.0147098901095238
"58","wheat","cup",0.0019047619047619
"59","wheat flour","cup",0.0477362637380952
"60","white pepper","teaspoon",0.00476190476190476
"61","xanthan gum","teaspoon",0.00317460317619048
"62","zucchini","cup",0.00952380952380952
