Ingredient,Text,Recipe_Index,Rating
agave,4.8 tablespoons light agave syrup,E_145,0
all purpose flour,3.0 cups all purpose flour,AR_1,0.920724583
all purpose flour,1.3333333333333333 cup all purpose flour,AR_2,0.937981987
all purpose flour,2.25 cups all purpose flour,AR_3,0.917986774
all purpose flour,2.5 cups all purpose flour,AR_4,0.922985077
all purpose flour,2.25 cups all purpose flour,AR_5,0.937341785
all purpose flour,2.2222222222222223 cups all purpose flour,AR_7,0.896335125
all purpose flour,4.5 cups all purpose flour,AR_8,0.942446041
all purpose flour,2.8000000000000003 cups all purpose flour,AR_10,0.905162048
all purpose flour,3.333333333333333 cups all purpose flour,AR_11,0.902891922
all purpose flour,4.5 cups all purpose flour,AR_13,0.909016418
all purpose flour,1.3333333333333333 cups all purpose flour,AR_14,0.90666666
all purpose flour,2.25 cups all purpose flour,AR_15,0.924302769
all purpose flour,2.2857142857142856 cups all purpose flour,AR_16,0.85882349
all purpose flour,2.6666666666666665 cups all purpose flour,AR_19,0.880000019
all purpose flour,4.666666666666666 cups all purpose flour,AR_21,0.881944466
all purpose flour,2.5 cups all purpose flour,AR_26,0.9
all purpose flour,4.333333333333333 cups all purpose flour,AR_27,0.876923084
all purpose flour,4.5 cups all purpose flour,AR_28,0.873333359
all purpose flour,1.125 cups all purpose flour,AR_30,0.859829044
all purpose flour,3.6 cups all purpose flour,AR_32,0.830769253
all purpose flour,3.333333333333333 cups all purpose flour,AR_33,0.826666641
all purpose flour,4.0 cup all purpose flour,AR_35,0.843636322
all purpose flour,5.333333333333333 cups all purpose flour,AR_37,0.8
all purpose flour,0.3333333333333333 cups all purpose flour,AR_38,0.823999977
all purpose flour,2.0 cups all purpose flour,AR_39,0.6
all purpose flour,5.0 cups all purpose flour,AR_43,0.828866005
all purpose flour,2.6666666666666665 cups all purpose flour,AR_44,0.9
all purpose flour,2.75 cups all purpose flour,AR_45,0.821052647
all purpose flour,8.0 cups all purpose flour,AR_47,0.7125
all purpose flour,5.0 cups all purpose flour,AR_48,0.677777767
all purpose flour,2.333333333333333 cups all purpose flour,AR_49,0.592592573
all purpose flour,6.0 cups all purpose flour,AR_50,0.66500001
all purpose flour,4.0 cups all purpose flour,AR_53,0.692473125
all purpose flour,2.0 cup all purpose flour,AR_54,0.723741007
all purpose flour,3.5 cups all purpose flour,AR_55,0.385714293
all purpose flour,2.0 cups all purpose flour,AR_57,0.595505619
all purpose flour,4.5 cups all purpose flour,AR_66,0.902002907
all purpose flour,3.375 cups all purpose flour,AR_67,0.939130402
all purpose flour,3.375 cups all purpose flour,AR_69,0.920792103
all purpose flour,1.6 cups all purpose flour,AR_70,0.91003809
all purpose flour,2.5 cups all purpose flour,AR_78,0.915186214
all purpose flour,5.0 cups all purpose flour,AR_79,0.633333349
all purpose flour,2.4 cups all purpose flour,AR_81,0.912062263
all purpose flour,7.0 cups all purpose flour,AR_84,0.905737686
all purpose flour,2.5 cups all purpose flour,AR_88,0.955555534
all purpose flour,1.8 cups all purpose flour,AR_89,0.909890079
all purpose flour,5.0 cups all purpose flour,AR_90,0.902608681
all purpose flour,4.0 cups all purpose flour,AR_91,0.928301907
all purpose flour,4.0 cups all purpose flour,AR_95,0.844067764
all purpose flour,2.333333333333333 cups all purpose flour,AR_96,0.818181801
all purpose flour,1.8 cups all purpose flour,AR_97,0.933333302
all purpose flour,5.8133333333333335 cups all purpose flour,AR_98,0.90666666
all purpose flour,1.1076923076923078 cups all purpose flour,AR_101,0.6
all purpose flour,3.333333333333333 cups sifted all purpose flour,AR_102,0.9375
all purpose flour,2.0 cups all purpose flour,AR_103,0.88125
all purpose flour,9.0 cups unbleached all purpose flour,AR_107,0.927272701
all purpose flour,0.8571428571428571 cups all purpose flour,AR_108,0.867741966
all purpose flour,2.6666666666666665 cups all purpose flour,AR_109,0.871794891
all purpose flour,4.0 cups all purpose flour,AR_110,0.868292713
all purpose flour,5.0 cups all purpose flour or more as needed,AR_111,1
all purpose flour,1.125 cups all purpose flour,AR_116,0.847999954
all purpose flour,2.0 cups all purpose flour,AR_118,0.830769253
all purpose flour,3.5 cups all purpose flour,AR_119,0.845714283
all purpose flour,4.5 cups all purpose flour,AR_128,0.714285707
all purpose flour,3.111111111111111 cups all purpose flour,AR_140,0.584615374
all purpose flour,3.333333333333333 cups sifted all purpose flour,AR_141,0.784615374
all purpose flour,3.0 cups all purpose flour,AR_142,0.671428585
all purpose flour,2.0 cup sifted all purpose flour,AR_144,0.442857122
all purpose flour,3.0 cups all purpose flour,AR_155,0.931135178
all purpose flour,8.0 cups all purpose flour,AR_156,0.924294472
all purpose flour,2.25 cups all purpose flour,AR_164,0.917012405
all purpose flour,3.5555555555555554 cups all purpose flour,AR_169,0.873728848
all purpose flour,6.0 cups all purpose flour,AR_195,0.585714293
all purpose flour,3.0 cups all purpose flour,AR_196,0.785929632
all purpose flour,4.0 cup all purpose flour,AR_197,0.706521749
all purpose flour,2.6666666666666665 cups all purpose flour,AR_218,0.877419376
all purpose flour,7.0 cups all purpose flour,AR_256,0.870253181
all purpose flour,1.5 cups all purpose flour,AR_280,NA
all purpose flour,2.4 cup plus 2 tablespoons all purpose flour,E_21,0.75
all purpose flour,5.4 cups all purpose flour,E_26,0.875
all purpose flour,2.4 cups all purpose flour,E_79,0.75
