Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
all purpose flour,3.0 cups all purpose flour,AR_1,0.920724583,3,cup
all purpose flour,1.3333333333333333 cup all purpose flour,AR_2,0.937981987,1.333333333,cup
all purpose flour,2.25 cups all purpose flour,AR_3,0.917986774,2.25,cup
all purpose flour,2.5 cups all purpose flour,AR_4,0.922985077,2.5,cup
all purpose flour,2.25 cups all purpose flour,AR_5,0.937341785,2.25,cup
all purpose flour,2.2222222222222223 cups all purpose flour,AR_7,0.896335125,2.222222222,cup
all purpose flour,4.5 cups all purpose flour,AR_8,0.942446041,4.5,cup
all purpose flour,2.8000000000000003 cups all purpose flour,AR_10,0.905162048,2.8,cup
all purpose flour,3.333333333333333 cups all purpose flour,AR_11,0.902891922,3.333333333,cup
all purpose flour,4.5 cups all purpose flour,AR_13,0.909016418,4.5,cup
all purpose flour,1.3333333333333333 cups all purpose flour,AR_14,0.90666666,1.333333333,cup
all purpose flour,2.25 cups all purpose flour,AR_15,0.924302769,2.25,cup
all purpose flour,2.2857142857142856 cups all purpose flour,AR_16,0.85882349,2.285714286,cup
all purpose flour,2.6666666666666665 cups all purpose flour,AR_19,0.880000019,2.666666667,cup
all purpose flour,4.666666666666666 cups all purpose flour,AR_21,0.881944466,4.666666667,cup
all purpose flour,2.5 cups all purpose flour,AR_26,0.9,2.5,cup
all purpose flour,4.333333333333333 cups all purpose flour,AR_27,0.876923084,4.333333333,cup
all purpose flour,4.5 cups all purpose flour,AR_28,0.873333359,4.5,cup
all purpose flour,1.125 cups all purpose flour,AR_30,0.859829044,1.125,cup
all purpose flour,3.6 cups all purpose flour,AR_32,0.830769253,3.6,cup
all purpose flour,3.333333333333333 cups all purpose flour,AR_33,0.826666641,3.333333333,cup
all purpose flour,4.0 cup all purpose flour,AR_35,0.843636322,4,cup
all purpose flour,5.333333333333333 cups all purpose flour,AR_37,0.8,5.333333333,cup
all purpose flour,2.0 cups all purpose flour,AR_39,0.6,2,cup
all purpose flour,5.0 cups all purpose flour,AR_43,0.828866005,5,cup
all purpose flour,2.75 cups all purpose flour,AR_45,0.821052647,2.75,cup
all purpose flour,8.0 cups all purpose flour,AR_47,0.7125,8,cup
all purpose flour,5.0 cups all purpose flour,AR_48,0.677777767,5,cup
all purpose flour,2.333333333333333 cups all purpose flour,AR_49,0.592592573,2.333333333,cup
all purpose flour,6.0 cups all purpose flour,AR_50,0.66500001,6,cup
all purpose flour,4.0 cups all purpose flour,AR_53,0.692473125,4,cup
all purpose flour,2.0 cup all purpose flour,AR_54,0.723741007,2,cup
all purpose flour,3.5 cups all purpose flour,AR_55,0.385714293,3.5,cup
all purpose flour,2.0 cups all purpose flour,AR_57,0.595505619,2,cup
all purpose flour,4.5 cups all purpose flour,AR_66,0.902002907,4.5,cup
all purpose flour,3.375 cups all purpose flour,AR_67,0.939130402,3.375,cup
all purpose flour,3.375 cups all purpose flour,AR_69,0.920792103,3.375,cup
all purpose flour,1.6 cups all purpose flour,AR_70,0.91003809,1.6,cup
all purpose flour,2.5 cups all purpose flour,AR_78,0.915186214,2.5,cup
all purpose flour,5.0 cups all purpose flour,AR_79,0.633333349,5,cup
all purpose flour,7.0 cups all purpose flour,AR_84,0.905737686,7,cup
all purpose flour,2.5 cups all purpose flour,AR_88,0.955555534,2.5,cup
all purpose flour,1.8 cups all purpose flour,AR_89,0.909890079,1.8,cup
all purpose flour,5.0 cups all purpose flour,AR_90,0.902608681,5,cup
all purpose flour,4.0 cups all purpose flour,AR_91,0.928301907,4,cup
all purpose flour,4.0 cups all purpose flour,AR_95,0.844067764,4,cup
all purpose flour,2.333333333333333 cups all purpose flour,AR_96,0.818181801,2.333333333,cup
all purpose flour,1.8 cups all purpose flour,AR_97,0.933333302,1.8,cup
all purpose flour,5.8133333333333335 cups all purpose flour,AR_98,0.90666666,5.813333333,cup
all purpose flour,1.1076923076923078 cups all purpose flour,AR_101,0.6,1.107692308,cup
all purpose flour,3.333333333333333 cups sifted all purpose flour,AR_102,0.9375,3.333333333,cup
all purpose flour,2.0 cups all purpose flour,AR_103,0.88125,2,cup
all purpose flour,9.0 cups unbleached all purpose flour,AR_107,0.927272701,9,cup
all purpose flour,0.8571428571428571 cups all purpose flour,AR_108,0.867741966,0.857142857,cup
all purpose flour,2.6666666666666665 cups all purpose flour,AR_109,0.871794891,2.666666667,cup
all purpose flour,4.0 cups all purpose flour,AR_110,0.868292713,4,cup
all purpose flour,5.0 cups all purpose flour or more as needed,AR_111,1,5,cup
all purpose flour,1.125 cups all purpose flour,AR_116,0.847999954,1.125,cup
all purpose flour,2.0 cups all purpose flour,AR_118,0.830769253,2,cup
all purpose flour,3.5 cups all purpose flour,AR_119,0.845714283,3.5,cup
all purpose flour,4.5 cups all purpose flour,AR_128,0.714285707,4.5,cup
all purpose flour,3.111111111111111 cups all purpose flour,AR_140,0.584615374,3.111111111,cup
all purpose flour,3.333333333333333 cups sifted all purpose flour,AR_141,0.784615374,3.333333333,cup
all purpose flour,3.0 cups all purpose flour,AR_142,0.671428585,3,cup
all purpose flour,2.0 cup sifted all purpose flour,AR_144,0.442857122,2,cup
all purpose flour,3.0 cups all purpose flour,AR_155,0.931135178,3,cup
all purpose flour,8.0 cups all purpose flour,AR_156,0.924294472,8,cup
all purpose flour,2.25 cups all purpose flour,AR_164,0.917012405,2.25,cup
all purpose flour,3.5555555555555554 cups all purpose flour,AR_169,0.873728848,3.555555556,cup
all purpose flour,6.0 cups all purpose flour,AR_195,0.585714293,6,cup
all purpose flour,3.0 cups all purpose flour,AR_196,0.785929632,3,cup
all purpose flour,4.0 cup all purpose flour,AR_197,0.706521749,4,cup
all purpose flour,2.6666666666666665 cups all purpose flour,AR_218,0.877419376,2.666666667,cup
all purpose flour,7.0 cups all purpose flour,AR_256,0.870253181,7,cup
all purpose flour,1.5 cups all purpose flour,AR_280,NA,1.5,cup
all purpose flour,2.4 cup plus 2 tablespoons all purpose flour,E_21,0.75,2.4,cup
all purpose flour,5.4 cups all purpose flour,E_26,0.875,5.4,cup
all purpose flour,2.4 cups all purpose flour,E_79,0.75,2.4,cup
all purpose flour,2.88 cups all purpose flour,E_87,0.75,2.88,cup
all purpose flour,16.0 cups all purpose flour,E_88,0.375,16,cup
all purpose flour,2.5 cups all purpose flour,E_89,0.875,2.5,cup
all purpose flour,1.8 cups all purpose flour,E_91,1,1.8,cup
all purpose flour,1.0 cup plus 2 tablespoons all purpose flour,E_133,0.75,1,cup
all purpose flour,192.0 tablespoons plain all purpose flour,E_169,0.5,12,cup
all purpose flour,3.0 cups all purpose flour,E_215,0.875,3,cup
all purpose flour,2.0 cups all purpose flour,E_220,0.75,2,cup
all purpose flour,5.14285714286 cups all purpose flour,E_230,0.875,5.142857143,cup
all purpose flour,3.5 cups all purpose flour,E_258,0.75,3.5,cup
all purpose flour,2.0 cups all purpose flour,E_362,0.625,2,cup
all purpose flour,3.42857142857 cups all purpose flour,E_375,0.75,3.428571429,cup
all purpose flour,4.36363636364 cups plain all purpose flour,E_399,1,4.363636364,cup
all purpose flour,0.32 cup all purpose flour,E_509,0.75,0.32,cup
all purpose flour,1.5 cups all purpose flour ,Misc_2,1,1.5,cup
all purpose flour,0.0 cup/50.0 grams all purpose flour,Misc_3,0.8,0,cup
all purpose flour,9.6 cups/256 grams all purpose flour,Misc_4,0.8,9.6,cup
all purpose flour,2.90909090909 cups all purpose flour,Misc_5,0.8,2.909090909,cup
all purpose flour,3.5 cups all purpose flour,Misc_6,0.8,3.5,cup
all purpose flour,4.0 cups all purpose flour,Misc_7,0.8,4,cup
all purpose flour,2.25 cups gold medal™ all purpose flour,Misc_9,0.86,2.25,cup
all purpose flour,3.6 cups all purpose flour,Misc_10,0.84,3.6,cup
all purpose flour,1.8 cups all purpose flour,Misc_11,0.86,1.8,cup
all purpose flour,3.0 cups all purpose flour see notes below,Misc_12,0.984,3,cup
all purpose flour,3.0 cups all purpose flour,Misc_13,0.6,3,cup
all purpose flour,5.53846153846 cups all purpose flour,Misc_14,NA,5.538461538,cup
all purpose flour,2.93333333333 cups all purpose flour ,Misc_15,1,2.933333333,cup
all purpose flour,2.83333333333 cups all purpose flour,Misc_16,0.9,2.833333333,cup
all purpose flour,4.25 cups all purpose flour,Misc_17,0.9,4.25,cup
all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_18,0.88,2.666666667,cup
all purpose flour,4.875 cups all purpose flour ,Misc_19,0.98,4.875,cup
all purpose flour,5.0 cups all purpose flour,Misc_20,0.96,5,cup
all purpose flour,2.33333333333 cups all purpose flour,Misc_22,NA,2.333333333,cup
all purpose flour,4.0 cups all purpose flour,Misc_23,0.9,4,cup
all purpose flour,2.0 cups all purpose flour,Misc_24,0.9,2,cup
all purpose flour,5.33333333333 cups all purpose flour,Misc_26,0.9,5.333333333,cup
all purpose flour,5.0 cups all purpose flour,Misc_27,NA,5,cup
all purpose flour,5.0 cups all purpose flour,Misc_28,0.98,5,cup
all purpose flour,5.4 cups all purpose flour,Misc_30,1,5.4,cup
all purpose flour,2.0 cups all purpose flour,Misc_31,0.8,2,cup
all purpose flour,2.64 cup all purpose flour,Misc_33,NA,2.64,cup
all purpose flour,36.0 cups all purpose flour/plain flour,Misc_34,NA,36,cup
all purpose flour,2.46153846154 cups all purpose flour,Misc_35,0.6,2.461538462,cup
all purpose flour,4.0 cups all purpose flour,Misc_37,0.8,4,cup
all purpose flour,1.6  1/4 cups all purpose flour,Misc_39,NA,1.6,cup
all purpose flour,2.25 cups all purpose flour,Misc_40,NA,2.25,cup
all purpose flour,2.7 cups all purpose flour,Misc_41,NA,2.7,cup
all purpose flour,2.52631578947 and 3/4 cups grams all purpose flour spooned & leveled,Misc_43,NA,2.526315789,cup
all purpose flour,4.0 cups  all purpose flour,Misc_44,NA,4,cup
all purpose flour,2.66666666667 cups baker’s corner all purpose flour,Misc_45,NA,2.666666667,cup
all purpose flour,3.5 cup all purpose flour,Misc_46,NA,3.5,cup
all purpose flour,1.42857142857 cups unsifted all purpose flour,Misc_47,NA,1.428571429,cup
all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_48,NA,2.666666667,cup
all purpose flour,"4.25 	cups all purpose flour",Misc_50,NA,4.25,cup
all purpose flour,"2.13333333333 	cups all purpose flour",Misc_51,NA,2.133333333,cup
all purpose flour,"1.68 	cup grams all purpose flour",Misc_52,NA,1.68,cup
all purpose flour,"5.25 	cups unbleached all purpose flour",Misc_53,NA,5.25,cup
