"","Ingredient","Unit","mean"
"1","all purpose flour","cup",3.65390681872642
"2","almond extract","teaspoon",0.0141509433915094
"3","almonds","cup",0.0110062893066038
"4","applesauce","cup",0.00235849056603774
"5","baking powder","teaspoon",0.396071721773585
"6","baking soda","teaspoon",1.42804873432547
"7","bourbon","tablespoon",0.0188679245283019
"8","bread flour","cup",0.0825987421415094
"9","bread flour","ounce",0.113207547169811
"10","brown rice flour","cup",0.0062893081745283
"11","brown sugar","cup",1.41977625666981
"12","butter","cup",1.14928139390094
"13","cake flour","cup",0.0809748427641509
"14","cake mix","ounce",0.373033018867925
"15","chocolate chip","cup",2.4998411746934
"16","chocolate chip","ounce",0.361994609165094
"17","chocolate chip","tablespoon",0.226415094339623
"18","cinnamon","teaspoon",0.0272012578632075
"19","coconut","cup",0.0266086115141509
"20","coconut","teaspoon",0.0188679245283019
"21","cookie mix","cup",0.0125786163537736
"22","coriander","teaspoon",0.00113207547169811
"23","corn syrup","cup",0.00235849056603774
"24","corn syrup","tablespoon",0.0188679245283019
"25","cornstarch","teaspoon",0.134905660372642
"26","cream","teaspoon",0.0062893081745283
"27","crispy rice","cup",0.00927672956132075
"28","egg","cup",0.00838574423584906
"29","egg","egg",2.8466224022217
"30","graham cracker","cup",0.00174165457075472
"31","honey","cup",0.00314465408962264
"32","honey","teaspoon",0.0125786163537736
"33","instant coffee","teaspoon",0.0471698113207547
"34","lemon","teaspoon",0.00566037735849057
"35","liquer","tablespoon",0.00943396226415094
"36","liquer","teaspoon",0.00943396226415094
"37","macadmia","cup",0.00471698113207547
"38","maple","cup",0.0017688679245283
"39","maple ","tablespoon",0.00348330914150943
"40","margarine","cup",0.048990082245283
"41","marshmallows","cup",0.00943396226415094
"42","milk","cup",0.0372117400424528
"43","milk","tablespoon",1.92624356778302
"44","molasses","tablespoon",0.00471698113207547
"45","nestle","cup",0.00188679245283019
"46","nutmeg","teaspoon",0.00201650943396226
"47","nuts","cup",0.050514579759434
"48","oat","cup",0.225446408938679
"49","other","cup",0.00377358490566038
"50","peanut butter","cup",0.00628930817924528
"51","peanut butter chips","cup",0.00209643605660377
"52","pecan","cup",0.0757749326132075
"53","pecan","tablespoon",0.226415094339623
"54","pudding mix","ounce",0.0424528301839623
"55","raisins","cup",0.0251572327028302
"56","salt","teaspoon",1.7437648512217
"57","shortening","cup",0.157434860735849
"58","sour cream","cup",0.00471698113207547
"59","sour cream","tablespoon",0.0113207547169811
"60","sugar","cup",1.17081844471698
"61","sugar","tablespoon",0.345283018867925
"62","tartar","teaspoon",0.02672955975
"63","toffee","cup",0.0188679245283019
"64","toffee","ounce",0.0226415094339623
"65","vanilla","teaspoon",3.02765745466981
"66","vegetable oil","cup",0.0221819061462264
"67","vegetable oil","tablespoon",0.0125786163537736
"68","vinegar ","teaspoon",0.0188679245235849
"69","walnut","cup",0.319021963353774
"70","water","cup",0.0114296081273585
"71","water","tablespoon",0.0452830188679245
"72","water","teaspoon",0.0150943396226415
"73","wheat","cup",0.00188679245283019
"74","wheat flour","cup",0.0472859216273585
"75","white pepper","teaspoon",0.00471698113207547
"76","xanthan gum","teaspoon",0.00314465408962264
"77","zucchini","cup",0.00943396226415094
