"","X","Ingredient","Text","Recipe_Index","Rating","Quantity","Unit"
"1",4,"walnut","2.90909090909 cups chopped toasted walnuts optional","Misc_5",0.8,2.909090909,"cup"
"2",5,"walnut","4.0 cups chopped toasted walnuts optional","Misc_6",0.8,4,"cup"
"3",6,"walnut","3.2 cups chopped walnuts optional","Misc_7",0.8,3.2,"cup"
"4",24,"walnut","3.6 cups chopped walnuts","Misc_30",1,3.6,"cup"
"5",30,"walnut","1.6 cup chopped walnuts","Misc_38",NA,1.6,"cup"
"6",37,"walnut","0.571428571429 cup chopped walnuts optional","Misc_47",NA,0.571428571,"cup"
"7",50,"walnut","1.77777777778 cup chopped, toasted walnut pieces, optional","Misc_63",NA,1.777777778,"cup"
"8",81,"walnut","1.33333333333 cups walnuts optional","Misc_103",NA,1.333333333,"cup"
"9",11,"milk","2.66666666667 cups about 12.66666666667 ounces semisweet and/or milk chocolate chips","Misc_13",0.6,42.66666667,"tablespoon"
"10",17,"milk","4.0 cups milk chocolate chips","Misc_20",0.96,64,"tablespoon"
"11",25,"milk","2.0 cup milk chocolate chips","Misc_32",NA,32,"tablespoon"
"12",29,"milk","1.33333333333 cup milk chocolate chips","Misc_37",0.8,21.33333333,"tablespoon"
"13",35,"milk","3.0 cups semi sweet chocolate chips or milk chocolate","Misc_44",NA,48,"tablespoon"
"14",57,"milk","2.66666666667 cups semisweet or milk chocolate chips or chocolate chunks","Misc_70",1,42.66666667,"tablespoon"
"15",60,"milk","2.66666666667 cups milk chocolate chips","Misc_74",0.92,42.66666667,"tablespoon"
"16",80,"milk","3.0 cup of milk chocolate chips, plus more chocolate chips for topping cookies","Misc_101",NA,48,"tablespoon"
"17",86,"milk","1.5 cup milk chocolate chips","Misc_108",NA,24,"tablespoon"
"18",89,"chocolate chip","2.66666666667 5 ounce block high quality milk chocolate, chopped","Misc_112",NA,1.6666,"cup"
"19",9,"salt","1.6 teaspoon fine salt","Misc_10",0.84,1.6,"teaspoon"
"20",39,"vanilla","4.0 	teaspoons vanilla extract","Misc_50",NA,4,"teaspoon"
"21",88,"egg","1.5 large egg, straight from the fridge","Misc_110",0.88,1.5,"egg"
"22",2,"chocolate chip","1.0 cup/125 grams chocolate chips","Misc_3",0.8,1,"cup"
"23",8,"chocolate chip","1.0 package 12 ounces semisweet chocolate chips 2 cups","Misc_9",0.86,1,"cup"
"24",12,"chocolate chip","3.69230769231 cups 340 grams semi sweet chocolate chips","Misc_14",NA,3.692307692,"cup"
"25",13,"chocolate chip","1.86666666667 cup semisweet chocolate chips plus additional for tops, optional 300g + additional","Misc_15",1,1.866666667,"cup"
"26",14,"chocolate chip","0.666666666667 to 2 bags 12 oz each semisweet chocolate chips 2 to 4 cups","Misc_16",0.9,0.666666667,"cup"
"27",15,"chocolate chip","2.66666666667 cups semisweet chocolate chips","Misc_18",0.88,2.666666667,"cup"
"28",16,"chocolate chip","3.0 cups chocolate chips i used half regular semisweet chips and half mini semisweet chips","Misc_19",0.98,3,"cup"
"29",18,"chocolate chip","24.0 ounces semisweet chocolate chips","Misc_21",NA,3,"cup"
"30",22,"chocolate chip","4.0 cups 340 grams or 14.0 ounces chocolate chips","Misc_27",NA,4,"cup"
"31",23,"chocolate chip","2.0 cups semisweet chocolate chips","Misc_29",NA,2,"cup"
"32",26,"chocolate chip","1.92 cups chocolate chips semi sweet","Misc_33",NA,1.92,"cup"
"33",32,"chocolate chip","2.4 cups semi sweet chocolate chips","Misc_41",NA,2.4,"cup"
"34",33,"chocolate chip","3.2 cups semi sweet chocolate chips","Misc_42",NA,3.2,"cup"
"35",34,"chocolate chip","1.26315789474 12 ounce package 2 cups semi sweet chocolate chips","Misc_43",NA,1.263157895,"cup"
"36",36,"chocolate chip","2.0 cups baker’s corner semi sweet chocolate chips","Misc_45",NA,2,"cup"
"37",38,"chocolate chip","2.66666666667 cups semisweet chocolate chips","Misc_48",NA,2.666666667,"cup"
"38",41,"chocolate chip","9.6 	ounces 283 grams semisweet or bittersweet chocolate, coarsely chopped or 1 2/3 cups chocolate chips","Misc_52",NA,9.6,"cup"
"39",44,"chocolate chip","2.0 and 1/4 cup 225g semi sweet chocolate chips","Misc_56",NA,2,"cup"
"40",48,"chocolate chip","3.0 cups chocolate chips","Misc_60",NA,3,"cup"
"41",49,"chocolate chip","3.5 cups dark chocolate chips","Misc_62",NA,3.5,"cup"
