Ingredient,Text,Recipe_Index,Rating
all purpose flour,2.4 cup plus 2 tablespoons all purpose flour,21,0.75
salt,1.8 teaspoon kosher salt,21,0.75
baking powder,1.2 teaspoon baking powder,21,0.75
butter,"1.8 1 1/2 sticks unsalted butter, room temperature",21,0.75
brown sugar,1.8 cup packed light brown sugar,21,0.75
sugar,0.6 cup sugar,21,0.75
egg,"2.4 large egg, room temperature",21,0.75
vanilla,1.2 teaspoon vanilla extract,21,0.75
chocolate chip,2.4 cup semi sweet or bittersweet chocolate chips,21,0.75
all purpose flour,5.4 cups all purpose flour,26,0.875
baking soda,2.4 teaspoon baking soda,26,0.875
salt,2.4 teaspoon salt,26,0.875
butter,"1.2 cup 1 stick unsalted butter, room temperature",26,0.875
shortening,1.2 cup solid vegetable shortening,26,0.875
sugar,1.8 cup sugar,26,0.875
brown sugar,1.8 cup packed golden brown sugar,26,0.875
other,2.4 tablespoon sour cream,26,0.875
vanilla,3.6 teaspoons vanilla extract,26,0.875
egg,4.8 large eggs,26,0.875
chocolate chip,2.4 pound 2 2/3 cups semisweet chocolate chips,26,0.875
all purpose flour,2.4 cups all purpose flour,79,0.75
baking soda,1.6 teaspoon baking soda,79,0.75
salt,0.8 teaspoon salt,79,0.75
oat,2.4 cups old fashioned rolled oats,79,0.75
butter,"3.2 sticks 1 cup unsalted butter, softened",79,0.75
sugar,1.2 cup granulated sugar,79,0.75
brown sugar,0.8 cup firmly packed light brown sugar,79,0.75
other,0.4 cup nestle's quik powder,79,0.75
egg,3.2 large eggs,79,0.75
other,1.6 teaspoon vanilla,79,0.75
chocolate chip,19.2 ounces miniature semisweet chocolate chips,79,0.75
all purpose flour,2.88 cups all purpose flour,87,0.75
baking soda,0.48 teaspoon baking soda,87,0.75
salt,"about 2.4 teaspoons sea salt, divided",87,0.75
butter,"9.6 ounces unsalted butter, at room temperature",87,0.75
sugar,0.96 cup vanilla sugar,87,0.75
egg,1.92 large eggs,87,0.75
vanilla,0.96 teaspoon vanilla extract,87,0.75
chocolate chip,"11.52 ounces bitter chocolate chips, or bitter chocolate cut in very small pieces",87,0.75
butter,"8.0 cup unsalted butter, at room temperature",88,0.375
egg,16.0 eggs,88,0.375
brown sugar,4.0 cup firmly packed brown sugar,88,0.375
sugar,4.0 cup granulated sugar,88,0.375
vanilla,8.0 tablespoon pure vanilla extract,88,0.375
all purpose flour,16.0 cups all purpose flour,88,0.375
baking soda,4.0 teaspoon baking soda,88,0.375
salt,2.0 teaspoon salt,88,0.375
chocolate chip,8.0 cup semisweet chocolate chips,88,0.375
walnut,8.0 cup coarsely chopped walnuts,88,0.375
cooking spray,"flourless cooking spray, for greasing",89,0.875
sugar,1.0 cup sugar,89,0.875
brown sugar,0.75 cup packed light brown sugar,89,0.875
butter,"1.0 cup 2 sticks unsalted butter, cut into small cubes, at room temperature",89,0.875
all purpose flour,2.5 cups all purpose flour,89,0.875
baking soda,1.0 teaspoon baking soda,89,0.875
salt,1.0 teaspoon salt,89,0.875
egg,"2.0 large eggs, at room temperature",89,0.875
vanilla,1.0 teaspoon pure vanilla extract,89,0.875
chocolate chip,2.0 cups bittersweet chocolate chunks or chips,89,0.875
all purpose flour,1.8 cups all purpose flour,91,1.0
baking soda,0.8 teaspoon baking soda,91,1.0
salt,0.8 teaspoon salt,91,1.0
butter,"0.8 cup 2 sticks butter, softened",91,1.0
sugar,0.6 cup granulated sugar,91,1.0
brown sugar,0.6 cup packed brown sugar,91,1.0
vanilla,0.8 teaspoon vanilla extract,91,1.0
egg,1.6 large eggs,91,1.0
chocolate,1.6 cups nestlã© toll house semi sweet chocolate morsels,91,1.0
other,0.8 cup chopped nuts,91,1.0
other,1.0 cup raw sunflower seeds,95,1.0
chocolate,"16.0 ounces bittersweet or semisweet chocolate, chopped",95,1.0
chocolate,"8.0 ounces white chocolate, chopped",95,1.0
all purpose flour,3.5 cups plus 2 tablespoons all purpose flour,95,1.0
cocoa,1.0 cup unsweetened cocoa powder,95,1.0
baking powder,3.0 teaspoons baking powder,95,1.0
salt,3.0 teaspoons kosher salt,95,1.0
baking soda,2.0 teaspoon baking soda,95,1.0
butter,"2.0 cup 2 sticks unsalted butter, room temperature",95,1.0
sugar,1.5 cup granulated sugar,95,1.0
brown sugar,1.5 cup packed light brown sugar,95,1.0
egg,"4.0 large eggs, room temperature",95,1.0
coconut,2.0 cup unsweetened coconut flakes,95,1.0
chocolate chip,2.0 cup semisweet chocolate chips,95,1.0
chocolate chip,1.0 cup white chocolate chips,95,1.0
salt,flaky sea salt,95,1.0
all purpose flour,1.0 cup plus 2 tablespoons all purpose flour,133,0.75
baking soda,0.5 teaspoon baking soda,133,0.75
butter,1.0 stick unsalted butter,133,0.75
sugar,6.0 tablespoons granulated sugar,133,0.75
brown sugar,6.0 tablespoons brown sugar,133,0.75
vanilla,0.5 teaspoon vanilla extract,133,0.75
egg,1.0 egg,133,0.75
other,1.0 cup semi sweet morsels,133,0.75
cooking spray,nonstick cooking spray,145,0.0
vanilla,1.2 teaspoon vanilla extract,145,0.0
cocoa,"0.8 cup unsweetened cocoa powder, sifted",145,0.0
other,"2.4 cup canned white cannellini beans, rinsed and drained",145,0.0
other,4.8 tablespoons light agave syrup,145,0.0
egg,7.2 large egg whites,145,0.0
other,3.6 cups granulated splenda,145,0.0
chocolate,0.6 cup dark chocolate covered cacao nibs,145,0.0
chocolate chip,0.6 cup mini chocolate chips,145,0.0
other,0.133333333333 cups unbleached cake flour,146,0.5
other,0.177777777778 cups unbleached bread flour,146,0.5
baking soda,0.0888888888889 teaspoon baking soda,146,0.5
butter,"0.177777777778 sticks 8 ounces unsalted butter, room temperature",146,0.5
sugar,0.0888888888889 cup granulated sugar,146,0.5
brown sugar,0.0888888888889 cup light brown sugar,146,0.5
vanilla,0.0888888888889 tablespoon vanilla extract,146,0.5
salt,generous pinch kosher salt,146,0.5
egg,0.266666666667 large eggs,146,0.5
chocolate,0.0888888888889 cup bittersweet chocolate chunks ideally about 72% cacao,146,0.5
