Ingredient,Text,Recipe_Index,Rating
other,8.0 cups minus 2 tablespoons cake flour,1,1.0
other,6.66666666667 cups bread flour,1,1.0
baking soda,5.0 teaspoons baking soda,1,1.0
baking powder,6.0 teaspoons baking powder,1,1.0
salt,6.0 teaspoons coarse salt,1,1.0
butter,5.0 cups unsalted butter,1,1.0
brown sugar,5.0 cups light brown sugar,1,1.0
sugar,4.0 cup plus 2 tablespoons  granulated sugar,1,1.0
egg,8.0 large eggs,1,1.0
vanilla,8.0 teaspoons natural vanilla extract,1,1.0
chocolate,"5.0 pounds bittersweet chocolate disks or fèves, at least 60 percent cacao content see note",1,1.0
all purpose flour,1.5 cups all purpose flour 1.5 cups,2,1.0
baking soda,0.5 teaspoon baking soda 0.5 teaspoon,2,1.0
butter,4.0 ounces butter 4.0 ounces/1 stick,2,1.0
sugar,0.5 cup sugar 0.5 cup,2,1.0
brown sugar,0.5 cup light brown sugar 0.5 cup packed,2,1.0
salt,0.25 teaspoon salt 0.25 teaspoon,2,1.0
egg,1.0 egg,2,1.0
other,1.0 teaspoon vanilla 1.0 teaspoon,2,1.0
butter,"14.6666666667 tablespoons/150 grams unsalted butter, melted",3,0.8
brown sugar,0.666666666667 cup/100 grams packed dark brown sugar,3,0.8
sugar,0.666666666667 cup/88 grams granulated sugar,3,0.8
egg,1.33333333333 egg plus 1 yolk,3,0.8
other,1.33333333333 cup/150 grams bread flour,3,0.8
all purpose flour,0.0 cup/50.0 grams all purpose flour,3,0.8
salt,1.33333333333 teaspoon/4 grams salt,3,0.8
baking soda,0.333333333333 teaspoon baking soda,3,0.8
baking powder,0.333333333333 teaspoon baking powder,3,0.8
all purpose flour,9.6 cups/256 grams all purpose flour,4,0.8
baking soda,2.4 teaspoon baking soda,4,0.8
salt,3.6 teaspoon salt,4,0.8
butter,"2.4 pound/227 grams unsalted butter 2 sticks, room temperature",4,0.8
sugar,7.2 cups/302 grams granulated sugar,4,0.8
brown sugar,1.2 cup/55 grams packed light or dark brown sugar,4,0.8
egg,4.8 egg,4,0.8
vanilla,7.2 teaspoons pure vanilla extract,4,0.8
all purpose flour,2.90909090909 cups all purpose flour,5,0.8
baking soda,1.81818181818 teaspoons baking soda,5,0.8
salt,1.45454545455 tablespoon kosher salt,5,0.8
butter,"11.6363636364 ounces butter, softened",5,0.8
brown sugar,2.18181818182 cups packed light brown sugar,5,0.8
sugar,0.363636363636 cup sugar,5,0.8
egg,2.90909090909 eggs,5,0.8
vanilla,1.45454545455 tablespoon vanilla extract,5,0.8
chocolate,2.90909090909 cups chopped bittersweet chocolate chunks and shavings,5,0.8
all purpose flour,3.5 cups all purpose flour,6,0.8
baking soda,1.5 teaspoon baking soda,6,0.8
salt,2.0 tablespoon kosher salt,6,0.8
butter,"28.0 tablespoons butter, melted",6,0.8
brown sugar,1.0 cup packed light brown sugar,6,0.8
sugar,1.0 cup sugar,6,0.8
other,4.0 tablespoons light corn syrup,6,0.8
vanilla,2.0 tablespoon vanilla extract,6,0.8
