"","Ingredient","Unit","mean"
"1","all purpose flour","cup",3.65390681872642
"2","almond extract","teaspoon",0.0141509433915094
"3","almonds","cup",0.0110062893066038
"4","applesauce","cup",0.00235849056603774
"5","baking powder","teaspoon",0.396071721773585
"6","baking soda","teaspoon",1.42804873432547
"7","bourbon","tablespoon",0.0188679245283019
"8","bread flour","cup",0.0967496855377358
"9","brown rice flour","cup",0.0062893081745283
"10","brown sugar","cup",1.43138728715094
"11","butter","cup",1.14928139390094
"12","cake flour","cup",0.0809748427641509
"13","cake mix","ounce",0.373033018867925
"14","chocolate chip","cup",2.48513224327982
"15","cinnamon","teaspoon",0.0272012578632075
"16","coconut","cup",0.0062893081745283
"17","coconut extract","teaspoon",0.0188679245283019
"18","cookie mix","cup",0.0125786163537736
"19","coriander","teaspoon",0.00113207547169811
"20","corn syrup","cup",0.0035377358490566
"21","cornstarch","teaspoon",0.134905660372642
"22","cream","teaspoon",0.0062893081745283
"23","crispy rice","cup",0.00927672956132075
"24","egg","egg",2.85500814645755
"25","graham cracker","cup",0.00174165457075472
"26","honey","cup",0.00314465408962264
"27","honey","teaspoon",0.0125786163537736
"28","instant coffee","teaspoon",0.0471698113207547
"29","lemon","teaspoon",0.00566037735849057
"30","liquer","tablespoon",0.0283018867924528
"31","liquer","teaspoon",0.00943396226415094
"32","macadmia","cup",0.00471698113207547
"33","maple","tablespoon",0.0283018867924528
"34","maple ","tablespoon",0.00348330914150943
"35","margarine","cup",0.048990082245283
"36","marshmallows","cup",0.00943396226415094
"37","milk","tablespoon",2.52162479419811
"38","molasses","tablespoon",0.00471698113207547
"39","nestle","cup",0.00188679245283019
"40","nutmeg","teaspoon",0.00201650943396226
"41","nuts","cup",0.050514579759434
"42","oat","cup",0.225446408938679
"43","other","cup",0.00377358490566038
"44","peanut butter","cup",0.00628930817924528
"45","peanut butter chips","cup",0.00209643605660377
"46","pecan","cup",0.089925876009434
"47","pudding mix","ounce",0.0424528301839623
"48","raisins","cup",0.0251572327028302
"49","salt","teaspoon",1.7437648512217
"50","shortening","cup",0.157434860735849
"51","sour cream","tablespoon",0.0867924528301887
"52","sugar","cup",1.18001655792453
"53","sugar","tablespoon",0.19811320754717
"54","tartar","teaspoon",0.02672955975
"55","toffee","cup",0.0216981132075472
"56","vanilla","teaspoon",3.02765745466981
"57","vegetable oil","cup",0.0229680382216981
"58","vegetable oil","tablespoon",0.139320754716981
"59","vinegar ","teaspoon",0.0188679245235849
"60","walnut","cup",0.319021963353774
"61","water","cup",0.0145711175613208
"62","wheat","cup",0.00188679245283019
"63","wheat flour","cup",0.0472859216273585
"64","white pepper","teaspoon",0.00471698113207547
"65","xanthan gum","teaspoon",0.00314465408962264
"66","zucchini","cup",0.00943396226415094
