"","Ingredient","Unit","mean"
"1","all purpose flour","cup",3.52607499588995
"2","almond extract","teaspoon",0.0143540669808612
"3","almonds","cup",0.0111642743205742
"4","applesauce","cup",0.00239234449760766
"5","baking powder","teaspoon",0.393782480143541
"6","baking soda","teaspoon",1.37000453139713
"7","bourbon","tablespoon",0.0191387559808612
"8","bread flour","cup",0.0981384370047847
"9","brown rice flour","cup",0.00637958532535885
"10","brown sugar","cup",1.31955449166507
"11","butter","cup",1.13315664516746
"12","cake flour","cup",0.0821371610813397
"13","cake mix","ounce",0.378387559808612
"14","chocolate chip","cup",2.45156727550667
"15","chocolate raisin","cup",0.0191387559808612
"16","cinnamon","teaspoon",0.0275917065406699
"17","coconut","cup",0.00637958532535885
"18","coconut extract","teaspoon",0.0191387559808612
"19","cookie mix","cup",0.0127591706555024
"20","coriander","teaspoon",0.00114832535885167
"21","corn syrup","tablespoon",0.0574162679425837
"22","cornstarch","teaspoon",0.136842105258373
"23","cream","teaspoon",0.00637958532535885
"24","crispy rice","cup",0.00940988835885167
"25","egg","egg",2.85500814645755
"26","espresso","teaspoon",0.0191387559808612
"27","flour","cup",0.0107655502392345
"28","graham cracker","cup",0.00176665439712919
"29","honey","cup",0.00345558213875598
"30","instant coffee","teaspoon",0.0287081339712919
"31","lemon juice","teaspoon",0.00574162679425837
"32","liquer","teaspoon",0.0956937799043062
"33","macadmia","cup",0.00478468899521531
"34","maple","tablespoon",0.0326529260191388
"35","margarine","cup",0.0496932891674641
"36","marshmallows","cup",0.00956937799043062
"37","milk","tablespoon",0.537623459473684
"38","molasses","tablespoon",0.00478468899521531
"39","nestle","cup",0.00191387559808612
"40","nutmeg","teaspoon",0.00204545454545455
"41","nuts","cup",0.0550674206172249
"42","oat","cup",0.227087585464115
"43","peanut butter","cup",0.00637958533014354
"44","peanut butter chips","cup",0.00212652844019139
"45","pecan","cup",0.0618819776698565
"46","pudding mix","ounce",0.0382775119569378
"47","raisins","cup",0.00637958532535885
"48","salt","teaspoon",1.13864932486124
"49","shortening","cup",0.159694691272727
"50","sour cream","tablespoon",0.0880382775119617
"51","sugar","cup",1.02483042443062
"52","tartar","teaspoon",0.0271132376411483
"53","toffee","cup",0.0220095693779904
"54","vanilla","teaspoon",2.9792506238756
"55","vegetable oil","cup",0.0201079303157895
"56","vinegar","teaspoon",0.0191387559760766
"57","walnut","cup",0.326791018650718
"58","water","cup",0.0103636363636364
"59","wheat","cup",0.00191387559808612
"60","wheat flour","cup",0.0479646669138756
"61","white pepper","teaspoon",0.00478468899521531
"62","xanthan gum","teaspoon",0.00318979266507177
"63","zucchini","cup",0.00956937799043062
