Sentence,Cluster,Coord1,Coord2
"Preheat oven to 350 degrees F (175 degrees C).
",2,1.44199879363,1.29716290646
"Cream together the butter, white sugar, and brown sugar until smooth.",5,-1.20954052638,0.156233149133
"Beat in the eggs one at a time, then stir in the vanilla.",4,-0.288195496891,-0.791093584132
Dissolve baking soda in hot water.  ,5,-0.64838366735,0.634452355017
Add to batter along with salt.,4,-0.437731650001,-0.0486109767986
"Stir in flour, chocolate chips, and nuts.",3,-1.25571755295,0.459678712434
"Drop by large spoonfuls onto ungreased pans.
",6,0.442822077503,1.00481585385
"Bake for about 10 minutes in the preheated oven, or until edges are nicely browned.
",1,0.573339150672,0.308714421525
"Preheat oven to 350 degrees F (175 degrees C).
",2,1.44199879363,1.29716290646
"In a medium bowl, cream together the butter, white sugar and brown sugar until smooth.",5,-1.04093024814,0.106766275555
"Stir in the peanut butter, vanilla and egg until well blended.",3,-1.24691879384,0.200429930922
"Combine the flour, baking soda and salt; stir into the batter just until moistened.",5,-0.885440266001,0.462206784995
Mix in the oats and chocolate chips until evenly distributed.,3,-0.77059488611,0.0837773675852
"Drop by tablespoonfuls on to lightly greased cookie sheets.
",6,0.491026772502,0.291937910084
"Bake for 10 to 12 minutes in the preheated oven, until the edges start to brown.",1,0.666882520277,0.0866977106938
"Cool on cookie sheets for about 5 minutes before transferring to wire racks to cool completely.
",0,0.76929820975,-0.47667012596
"Preheat oven to 375 degrees F (190 degrees C).
",2,1.45987661323,1.34774083159
"In a mixing bowl, cream butter and sugars.",5,-1.16138483832,0.337879620907
"Add pudding mix, eggs and vanilla.",3,-1.31180120053,0.399600755936
Combine flour and baking soda; add to creamed mixture and mix well.,5,-1.01596221548,0.502707101285
"Fold in chocolate chips.
",3,-0.45864958597,0.223361037838
Drop by teaspoonfuls onto ungreased baking sheets.,6,0.608113832847,1.055056297
"Bake for 10 to 12 minutes or until lightly browned.
",1,0.636648126122,0.304631190243
"Preheat the oven to 350 degrees F (175 degrees C).
",2,1.36221351608,1.07751607428
"In a medium bowl, cream together the butter, brown sugar, and white sugar.",5,-1.08460605283,0.146818268896
Mix in the eggs and vanilla.,3,-1.00488502304,-0.163640247799
"Combine the flour, baking soda, baking powder, and salt; add to butter mixture, and stir until just blended.",5,-1.05885847151,0.567547158044
"With a large wooden spoon, stir in the white, milk, and semi-sweet chocolate chips.",3,-0.702260248089,-0.163818590495
"Stir in the walnuts, pecans, and almonds.",3,-1.18888041129,0.517441860499
"Drop dough by heaping spoonfuls onto ungreased cookie sheets.
",6,0.111657068445,1.38779439204
Bake for 10 to 12 minutes in the preheated oven.,1,1.02859820213,0.596413783413
"Allow cookies to cool on the baking sheet before transferring to wire racks to cool completely.
",0,0.555759666753,-0.401397075201
"In large bowl, beat butter, granulated sugar, brown sugar, and vanilla until light and fluffy.  ",5,-1.08633927958,0.304784368841
"Add eggs, one at a time, beating well.
",0,0.0852273429883,-0.817977776106
"Gradually add flour, salt, and baking soda, beating until well blended.  ",5,-0.869228003938,0.294882486693
"Stir in chocolate chips and nuts.
",3,-0.941514344652,0.253136409091
Spread in greased 14 inch round pizza pan.  ,6,0.435848171015,0.674374064329
Bake at 375 degrees F (190 degrees C) for 20-25 minutes.  ,2,1.41951633628,0.619440894065
Cool cookie in pan on a cooling rack.  ,0,0.439691657934,0.11826733875
"Decorate as desired.
",0,0.386513455674,-0.343060190334
"Preheat the oven to 375 degrees F (190 degrees C).
",2,1.3788143236,1.12448128171
"Sift together the flour, baking powder, baking soda, and salt; set aside.
",5,-0.743182343095,0.577343124684
"In a medium bowl, cream together the butter, brown sugar, and white sugar until smooth.",5,-1.00136523747,0.0675496960205
