PC1,PC2,Cluster,Sentence
-0.24639557 ,0.94631689 ,4 , "Heat  oven  to  350  degrees  F.Beat  butter ,  sugar  and  peanut  butter  in  medium  bowl  until  creamy. "
-0.78638538 ,-0.14282087 ,3 , "Add  egg  and  vanilla;  beat  well. "
-0.85782041 ,0.80626374 ,4 , "Stir  together  flour ,  baking  soda  and  salt;  add  to  butter  mixture ,  blending  well. "
-1.48512509 ,1.09415900 ,5 , "Stir  in  milk  chocolate  chips  and  peanut  butter  chips. "
0.45678045 ,0.27607202 ,2 , "Drop  by  rounded  teaspoons  onto  ungreased  cookie  sheets. "
0.40030430 ,-0.50041372 ,6 , "Bake  12  to  14  minutes  or  until  light  golden  brown  around  the  edges. "
0.51723623 ,-0.68930125 ,0 , "Cool  1  minute  on  cookie  sheet. "
0.51283559 ,-1.03435792 ,0 , "Remove  to  wire  rack;  cool  completely. "
1.94003157 ,0.98018947 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees  C). "
0.32861685 ,-0.09786060 ,2 , "Line  baking  sheets  with  parchment  paper. "
-0.99917564 ,0.90205232 ,4 , "Combine  sorghum  flour ,  rice  flour ,  baking  soda ,  xanthan  gum ,  and  salt  together  in  a  large  bowl. "
-0.49613413 ,-0.11007980 ,3 , "Beat  butter ,  white  sugar ,  and  brown  sugar  together  in  a  large  bowl  with  an  electric  mixer  until  light  and  fluffy ,  about  2  minutes. "
-0.62236808 ,-0.11711126 ,3 , "Beat  eggs  one  at  a  time  into  the  butter  mixture;  add  vanilla  extract. "
-0.89612753 ,1.66274239 ,4 , "Pour  butter  mixture  over  flour  mixture. "
0.07894845 ,-0.75767746 ,0 , "Beat  together  until  combined ,  about  2  minutes. "
-0.78984015 ,0.24028164 ,5 , "Fold  chocolate  chips  and  hemp  seeds  into  the  cookie  dough. "
0.34972841 ,-0.66673774 ,0 , "Place  cookie  dough  in  the  refrigerator  to  firm  up ,  at  least  20  minutes. "
0.09953431 ,-0.26124601 ,2 , "Drop  heaping  tablespoons  of  dough  2  inches  apart  on  baking  sheets;  press  down  with  the  back  of  the  spoon  to  flatten  slightly. "
0.59747840 ,0.01466112 ,6 , "Bake  in  the  preheated  oven  until  cookie  edges  are  lightly  golden ,  8  to  11  minutes. "
0.37073635 ,-0.88856692 ,0 , "Remove  from  the  oven  and  let  cool  before  taking  off  the  parchment  paper ,  about  10  minutes. "
0.27638664 ,-0.72925138 ,0 , "Cool  baking  sheet  before  re-using  for  another  batch. "
1.97257623 ,1.02417523 ,1 , "Preheat  oven  to  375  degrees  F  (190  degrees  C). "
0.33135826 ,-0.31605992 ,2 , "Line  a  baking  sheet  with  parchment  paper. "
-0.66870383 ,-0.01261815 ,3 , "Beat  butter ,  sugar ,  and  persimmon  pulp  together  in  a  large  bowl  with  an  electric  mixer  until  light  and  fluffy;  beat    in  eggs  and  vanilla  extract. "
-0.56883665 ,0.36344049 ,4 , "Sift  flour ,  baking  soda ,  and  salt  together  in  a  bowl;  add  gradually  to  persimmon  mixture  until  dough  is  thoroughly  combined. "
-1.14566706 ,0.56764897 ,5 , "Stir  in  chocolate  chips. "
0.35215196 ,0.08971385 ,2 , "Drop  spoonfuls  of  dough  1  inch  apart  onto  lined  baking  sheet. "
0.76912572 ,-0.12833117 ,6 , "Bake  in  the  preheated  oven  until  edges  are  golden ,  10  to  13  minutes. "
0.40517143 ,-1.04633342 ,0 , "Cool  on  the  baking  sheet  for  1  minute  before  removing  to  a  wire  rack  to  cool  completely. "
1.94003157 ,0.98018947 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees  C). "
0.18407056 ,0.38137455 ,2 , "Lightly  grease  a  baking  sheet. "
-0.69046057 ,0.30289890 ,3 , "Combine  coconut  sugar ,  coconut  oil ,  baking  soda ,  and  salt  in  a  large  bowl;  beat  with  a  handheld  electric  mixer  until  smooth. "
-1.18545158 ,0.98003173 ,4 , "Add  almond  flour ,  eggs ,  and  vanilla  extract. "
-0.10701017 ,-0.55280052 ,0 , "Beat  dough  at  medium  speed ,  scraping  the  bottom  and  sides  of  the  bowl ,  until  well  mixed ,  about  1  minute. "
-0.63117800 ,0.11314726 ,5 , "Fold  chocolate  chips  into  the  dough. "
-0.09521083 ,0.05412371 ,2 , "Grease  your  palms  lightly  with  coconut  oil;  drop  tablespoonfuls  of  dough  onto  the  baking  sheet. "
0.72263003 ,0.10409501 ,6 , "Bake  in  the  preheated  oven  until  golden  brown ,  10  to  12  minutes. "
0.44193227 ,-0.74351025 ,0 , "Let  cool  on  the  baking  sheet ,  about  10  minutes. "
2.28164708 ,1.29107179 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees "
-0.75429158 ,0.27262957 ,3 , "C).Beat  butter ,  white  sugar ,  brown  sugar ,  eggs ,  and  vanilla  extract  in  a  bowl  with  an  electric  mixer  until  light  and  fluffy. "
-0.83991185 ,0.62508873 ,4 , "Mix  flour ,  salt ,  and  baking  powder  together  in  a  bowl. "
-0.79716454 ,0.38322380 ,4 , "Stir  the  flour  mixture  slowly  into  the  butter  mixture  until  well  combined;  fold  in  chocolate  chips. "
0.40649605 ,0.03430842 ,2 , "Place  spoonfuls  of  dough  onto  a  nonstick  baking  sheet  about  2  inches  apart. "
0.53795159 ,0.02596646 ,6 , "Bake  in  the  preheated  oven  until  tops  are  golden  brown ,  about  10  minutes. "
1.95115524 ,0.99157374 ,1 , "Preheat  oven  to  325  degrees  F  (165  degrees  C). "
0.33135826 ,-0.31605992 ,2 , "Line  a  baking  sheet  with  parchment  paper. "
-0.78340872 ,0.17333368 ,3 , "Combine  coconut  oil ,  brown  sugar ,  and  white  sugar  in  a  large  bowl;  beat  with  an  electric  mixer  until  creamy. "
-1.06495204 ,0.11873397 ,3 , "Beat  in  egg  and  vanilla  extract. "
-0.85813768 ,0.61506339 ,4 , "Mix  flour ,  baking  soda ,  and  salt  together  in  a  bowl. "
-0.80752284 ,-0.02021996 ,3 , "Gradually  beat  into  the  coconut  oil  mixture  until  just  blended. "
-0.80549255 ,0.32896110 ,5 , "Fold  chocolate  chips  and  oats  into  the  dough. "
-0.07190442 ,-0.03952568 ,2 , "Roll  2  tablespoons  of  dough  into  a  ball. "
0.18828825 ,-0.56149339 ,0 , "Place  on  the  prepared  baking  sheet. "
0.38653213 ,-0.43432271 ,0 , "Repeat  with  remaining  dough ,  spacing  balls  about  2  inches  apart. "
0.62231652 ,-0.28300988 ,6 , "Bake  in  the  preheated  oven  until  cookies  are  golden  on  the  bottom ,  12  to  14  minutes. "
0.19584250 ,0.62527054 ,3 , "Preheat  oven  to  350  degrees  F  (175  degrees  C).In  large  bowl ,  beat  butter ,  sugar ,  eggs ,  and  vanilla  until  light  and  fluffy. "
-0.94111642 ,0.70188879 ,4 , "Combine  the  flour ,  cocoa ,  baking  soda ,  and  salt;  stir  into  the  butter  mixture  until  well  blended. "
-1.10783606 ,0.31854522 ,5 , "Mix  in  the  chocolate  chips  and  walnuts. "
0.67005697 ,-0.25399416 ,2 , "Drop  by  rounded  teaspoonfuls  onto  ungreased  cookie  sheets. "
0.79053508 ,-0.37048173 ,6 , "Bake  for  8  to  10  minutes  in  the  preheated  oven ,  or  just  until  set. "
0.31638024 ,-1.12668658 ,0 , "Cool  slightly  on  the  cookie  sheets  before  transferring  to  wire  racks  to  cool  completely. "
1.94003157 ,0.98018947 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees  C). "
-0.55939423 ,0.25951540 ,4 , "Sift  together  the  flour  and  baking  soda ,  set  aside. "
-0.98871639 ,0.21873780 ,3 , "In  a  large  bowl ,  cream  together  the  butter ,  brown  sugar ,  and  white  sugar. "
-0.77677418 ,-0.26252623 ,3 , "Beat  in  the  instant  pudding  mix  until  blended. "
-0.98198372 ,0.16422954 ,3 , "Stir  in  the  eggs  and  vanilla. "
-0.88531574 ,0.63403020 ,4 , "Blend  in  the  flour  mixture. "
-0.90842147 ,-0.11968350 ,5 , "Finally ,  stir  in  the  chocolate  chips  and  nuts. "
0.39490313 ,0.15383601 ,2 , "Drop  cookies  by  rounded  spoonfuls  onto  ungreased  cookie  sheets. "
1.16824475 ,-0.02957496 ,6 , "Bake  for  10  to  12  minutes  in  the  preheated  oven. "
-0.14191341 ,-0.61543667 ,0 , "Edges  should  be  golden  brown. "
1.78606285 ,0.77367475 ,1 , "Preheat  the  oven  to  325  degrees  F  (165  degrees  C). "
0.28864098 ,-0.27173694 ,2 , "Grease  cookie  sheets  or  line  with  parchment  paper. "
-0.57338777 ,0.41405516 ,4 , "Sift  together  the  flour ,  baking  soda  and  salt;  set  aside. "
-0.98449959 ,0.34241178 ,3 , "In  a  medium  bowl ,  cream  together  the  melted  butter ,  brown  sugar  and  white  sugar  until  well  blended. "
