Ingredient,Count
chocolate chips,2.0 cups milk chocolate chips
chocolate chips,3.63636363636 cups chocolate chips
chocolate chips,2.0 cup chocolate chips (such as GhirardelliÂ®)
chocolate chips,4.0 cups milk chocolate chips
chocolate chips,2.0 cup milk chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,2.66666666667 cups semisweet chocolate chips
chocolate chips,6.0 cups semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,2.0 cup semisweet chocolate chips
chocolate chips,4.0 cups milk chocolate chips
chocolate chips,1.33333333333 cup semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,2.85714285714 cups white chocolate chips
chocolate chips,1.33333333333 cups white chocolate chips
chocolate chips,3.0 cups semisweet chocolate chips
chocolate chips,1.0 cup dark chocolate chips
chocolate chips,1.33333333333 cup semisweet chocolate chips
chocolate chips,1.33333333333 cup semisweet chocolate chips
chocolate chips,2.66666666667 cups white chocolate chips
chocolate chips,1.0 cup semi-sweet chocolate chips
chocolate chips,1.0 cup white chocolate chips
chocolate chips,1.0 cup milk chocolate chips
chocolate chips,0.666666666667 cup white chocolate chips
chocolate chips,0.666666666667 cup milk chocolate chips
chocolate chips,0.666666666667 cup semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,1.6 cups semisweet chocolate chips
chocolate chips,19.2 ounces semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,2.66666666667 cups semisweet chocolate chips
chocolate chips,1.2 cup white chocolate chips
chocolate chips,1.2 cup semisweet chocolate chips
chocolate chips,3.0 cups semisweet chocolate chips
chocolate chips,2.66666666667 cups milk chocolate chips
chocolate chips,4.8 cups semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,2.66666666667 cups semisweet chocolate chips
chocolate chips,2.28571428571 cups semisweet chocolate chips
chocolate chips,1.45454545455 cups semisweet chocolate chips
chocolate chips,2.66666666667 cups semisweet chocolate chips
chocolate chips,1.14285714286 cups semisweet chocolate chips
chocolate chips,3.6 cups semisweet chocolate chips
chocolate chips,1.0 (12 ounce) bag semi-sweet chocolate chips
chocolate chips,4.0 cup semisweet chocolate chips
chocolate chips,1.0 (12 ounce) bag dark chocolate chips
chocolate chips,1.66666666667 cups semisweet chocolate chips
chocolate chips,0.25 cup semi-sweet chocolate chips
chocolate chips,4.0 cups milk chocolate chips
chocolate chips,6.0 cups semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,1.33333333333 cups semisweet chocolate chips
chocolate chips,0.571428571429 cup milk chocolate chips
chocolate chips,1.71428571429 cups dark chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,1.6 cup semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips
chocolate chips,2.66666666667 cups mini semi-sweet chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,1.0 (12 ounce) package semi-sweet chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,1.6 cups semisweet chocolate chips
chocolate chips,2.0 cup semisweet chocolate chips
chocolate chips,1.71428571429 cup chocolate chips
chocolate chips,2.4 cup semisweet chocolate chips
chocolate chips,0.8 cup semisweet chocolate chips
chocolate chips,0.8 cup white chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips
chocolate chips,1.6 cups semisweet chocolate chips
chocolate chips,3.2 cups semisweet chocolate chips
chocolate chips,1.0 cup white chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,2.28571428571 cups semisweet chocolate chips
chocolate chips,1.33333333333 cup milk chocolate chips
chocolate chips,16.0 ounces semisweet chocolate chips
chocolate chips,2.28571428571 cups semisweet chocolate chips
chocolate chips,1.49333333333 pounds semisweet chocolate chips
chocolate chips,1.14285714286 (12 ounce) bag semisweet chocolate chips
chocolate chips,3.2 cups milk chocolate chips
chocolate chips,"1.14285714286 cup chocolate chips, or more to taste"
chocolate chips,0.666666666667 cup milk chocolate chips
chocolate chips,0.888888888889 cup mini semi-sweet chocolate chips
chocolate chips,2.66666666667 cups semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,1.2 cups semisweet chocolate chips
chocolate chips,2.0 cups semi-sweet chocolate chips
chocolate chips,1.33333333333 cup milk chocolate chips
chocolate chips,2.0 cup semisweet chocolate chips
chocolate chips,0.738461538462 (10.738461538462 ounce) packages semisweet chocolate chips
chocolate chips,1.33333333333 (12 ounce) bag chocolate chips
chocolate chips,4.0 cups milk chocolate chips
chocolate chips,3.33333333333 cups semisweet chocolate chips
chocolate chips,9.6 ounces semisweet chocolate chips
chocolate chips,4.8 cups semisweet chocolate chips
chocolate chips,1.0 cup mini semi-sweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips
chocolate chips,3.0 cups semisweet chocolate chips
chocolate chips,0.8 (12 ounce) package semi-sweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,1.0 cup bittersweet chocolate chips
chocolate chips,8.0 cups semisweet chocolate chips
chocolate chips,1.77777777778 cups semisweet chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips
chocolate chips,1.14285714286 cups semisweet chocolate chips
chocolate chips,1.5 cup miniature semisweet chocolate chips
chocolate chips,6.4 cups semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,1.33333333333 cups semisweet chocolate chips
chocolate chips,0.8 (12 ounce) bag chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,1.6 cups semisweet chocolate chips
chocolate chips,1.33333333333 cup semisweet chocolate chips
chocolate chips,0.8 cup semisweet chocolate chips
chocolate chips,0.4 cup white chocolate chips
chocolate chips,1.33333333333 cup semisweet chocolate chips
chocolate chips,3.2 cups semisweet chocolate chips
chocolate chips,1.33333333333 (11.33333333333 ounce) package semisweet chocolate chips
chocolate chips,"0.3333333333333333 cup semisweet chocolate chips, melted"
chocolate chips,3.2 cups semisweet chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,2.0 cup dark chocolate chips
chocolate chips,1.25 cups semisweet chocolate chips
chocolate chips,0.666666666667 cup semisweet chocolate chips
chocolate chips,1.2 cups semisweet chocolate chips
chocolate chips,4.0 cup semisweet chocolate chips
chocolate chips,1.0 (12 ounce) bag semi-sweet chocolate chips
chocolate chips,0.24 cup miniature semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,0.190476190476 cup semisweet chocolate chips
chocolate chips,2.0 cup chocolate chips
chocolate chips,1.33333333333 cups semisweet chocolate chips
chocolate chips,0.571428571429 cup semisweet chocolate chips
chocolate chips,2.4 cups semisweet chocolate chips
chocolate chips,2.0 cup semisweet chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,2.0 (24 ounce) bag semisweet chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,1.0 cup white chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips
chocolate chips,2.66666666667 cups semisweet chocolate chips
chocolate chips,0.8 cup semisweet chocolate chips
chocolate chips,2.0 cup semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,1.0 cups semisweet chocolate chips
chocolate chips,2.0 (12 ounce) bag chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips
chocolate chips,2.0 cup bittersweet chocolate chips
chocolate chips,0.8 cup dark chocolate chips (such as GhirardelliÂ® 60% Cacao)
chocolate chips,13.3333333333 ounces chocolate chips
chocolate chips,4.0 cups semisweet chocolate chips (such as NestleÂ® Toll HouseÂ®)
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,1.0 cup semisweet chocolate chips
chocolate chips,2.0 cup semisweet chocolate chips
chocolate chips,1.33333333333 (16 ounce) package semisweet chocolate chips
chocolate chips,"1.33333333333 cup semi-sweet chocolate chips, or more to taste"
chocolate chips,2.0 cups semisweet chocolate chips
chocolate chips,2.28571428571 cup chocolate chips
chocolate chips,4.0 cups milk chocolate chips
chocolate chips,"1.33333333333 cup semi-sweet chocolate chips, or more to taste"
chocolate chips,2.0 cups semi-sweet chocolate chips
chocolate chips,2.66666666667 cup semisweet chocolate chips
chocolate chips,8.0 cups semisweet chocolate chips
chocolate chips,2.66666666667 cups semisweet chocolate chips
egg,2.0 eggs
egg,1.45454545455 egg
egg,4.0 eggs
egg,4.0 eggs
egg,4.0 egg
egg,2.0 eggs
egg,2.66666666667 eggs
egg,3.0 egg
egg,2.0 eggs
egg,4.0 eggs
egg,4.0 eggs
egg,1.33333333333 egg
egg,2.0 eggs
egg,3.42857142857 eggs
egg,1.33333333333 eggs
egg,1.5 large egg
egg,2.0 eggs
egg,4.0 eggs
egg,2.66666666667 eggs
egg,3.0 large egg
egg,4.0 eggs
egg,2.0 eggs
egg,2.0 eggs
egg,4.0 eggs
egg,2.0 eggs
egg,1.6 eggs
egg,3.2 eggs
egg,2.66666666667 eggs
egg,2.0 egg
egg,1.33333333333 egg
egg,4.8 eggs
egg,2.0 eggs
egg,2.28571428571 eggs
egg,1.45454545455 eggs
egg,2.66666666667 eggs
egg,1.14285714286 eggs
egg,2.4 eggs
egg,2.0 eggs
egg,4.0 egg
egg,1.0 egg
egg,1.33333333333 egg
egg,"2.66666666667 egg, beaten"
egg,4.0 egg
egg,1.33333333333 eggs
egg,2.0 eggs
egg,2.66666666667 eggs
egg,1.33333333333 eggs
egg,2.28571428571 eggs
egg,2.0 eggs
egg,1.6 egg
egg,4.0 eggs
egg,2.0 egg
egg,1.33333333333 egg
egg,1.0 egg
egg,1.0 egg
egg,3.0 eggs
egg,1.6 eggs
egg,4.0 eggs
egg,3.42857142857 large egg
egg,4.8 eggs
egg,1.6 eggs
egg,4.0 eggs
egg,1.6 eggs
egg,2.0 large eggs
egg,3.2 eggs
egg,2.0 eggs
egg,2.28571428571 eggs
egg,2.66666666667 eggs
egg,2.28571428571 eggs
egg,4.0 eggs
egg,2.28571428571 eggs
egg,3.2 eggs
egg,2.28571428571 eggs
egg,2.66666666667 eggs
egg,1.77777777778 eggs
egg,2.66666666667 eggs
egg,2.0 eggs
egg,1.6 eggs
egg,2.66666666667 eggs
egg,2.0 eggs
egg,2.66666666667 eggs
egg,2.0 egg
egg,1.47692307692 eggs
egg,2.66666666667 eggs
egg,4.0 eggs
egg,2.66666666667 eggs
egg,1.6 eggs
egg,4.8 eggs
egg,1.33333333333 egg
egg,2.0 eggs
egg,2.0 eggs
egg,1.6 eggs
egg,2.0 large eggs
egg,5.33333333333 eggs
egg,1.33333333333 egg
egg,4.0 eggs
egg,1.14285714286 eggs
egg,2.0 egg
egg,6.4 eggs
egg,4.0 eggs
egg,1.33333333333 eggs
egg,4.8 eggs
egg,2.4 eggs
egg,1.0 egg
egg,8.0 egg
egg,0.8 egg
egg,1.33333333333 egg
egg,1.6 eggs
egg,1.33333333333 egg
egg,3.2 eggs
egg,2.66666666667 eggs
egg,3.2 eggs
egg,2.0 eggs
egg,2.0 large eggs
egg,"2.0 egg, slightly beaten"
egg,1.0 egg
egg,2.66666666667 eggs
egg,1.33333333333 eggs
egg,1.6 eggs
egg,4.0 egg
egg,"2.0 eggs, beaten"
egg,2.0 eggs
egg,0.380952380952 eggs
egg,2.0 egg
egg,1.33333333333 eggs
egg,1.14285714286 eggs
egg,2.4 eggs
egg,2.0 egg
egg,4.0 eggs
egg,4.0 eggs
egg,2.66666666667 eggs
egg,4.0 eggs
egg,2.66666666667 eggs
egg,1.6 eggs
egg,4.0 eggs
egg,2.0 eggs
egg,4.0 eggs
egg,4.0 eggs
egg,4.0 eggs
egg,1.6 eggs
egg,1.33333333333 egg
egg,4.0 eggs
egg,2.0 eggs
egg,2.0 eggs
egg,4.0 eggs
egg,2.66666666667 eggs
egg,2.66666666667 large eggs
egg,"4.57142857143 eggs, beaten"
egg,2.0 egg
egg,2.0 large egg
egg,2.0 eggs
egg,5.33333333333 eggs
egg,8.0 eggs
egg,2.66666666667 eggs
baking soda,1.0 teaspoon baking soda
baking soda,1.45454545455 teaspoon baking soda
baking soda,1.0 teaspoon baking soda
baking soda,2.0 teaspoon baking soda
baking soda,0.75 teaspoon baking soda
baking soda,1.33333333333 teaspoons baking soda
baking soda,1.5 teaspoon baking soda
baking soda,1.0 teaspoon baking soda
baking soda,1.0 teaspoon baking soda
baking soda,2.0 teaspoon baking soda
baking soda,1.33333333333 teaspoon baking soda
baking soda,1.0 teaspoon baking soda
baking soda,1.71428571429 teaspoon baking soda
baking soda,0.666666666667 teaspoon baking soda
baking soda,1.5 teaspoon baking soda
baking soda,2.66666666667 teaspoons baking soda
baking soda,1.5 teaspoon baking soda
baking soda,2.0 teaspoon baking soda
baking soda,1.0 teaspoon baking soda
baking soda,1.0 teaspoon baking soda
baking soda,2.0 teaspoon baking soda
baking soda,0.5 teaspoon baking soda
