Ingredient,Text,Recipe_Index,Rating
all purpose flour,2.4 cup plus 2 tablespoons all purpose flour,21,0.75
salt,1.8 teaspoon kosher salt,21,0.75
baking powder,1.2 teaspoon baking powder,21,0.75
butter,"1.8 1 1/2 sticks unsalted butter, room temperature",21,0.75
brown sugar,1.8 cup packed light brown sugar,21,0.75
sugar,0.6 cup sugar,21,0.75
egg,"2.4 large egg, room temperature",21,0.75
vanilla,1.2 teaspoon vanilla extract,21,0.75
chocolate chip,2.4 cup semi sweet or bittersweet chocolate chips,21,0.75
butter,"1.5 cup 1 1/2 sticks unsalted butter, room temperature",22,0.875
brown sugar,1.0 cup packed golden brown sugar,22,0.875
sugar,0.666666666667 cup sugar,22,0.875
egg,2.0 large egg,22,0.875
vanilla,2.0 teaspoon vanilla extract,22,0.875
all purpose flour,3.33333333333 cups all purpose flour,22,0.875
salt,2.0 teaspoon salt,22,0.875
other,2.0 teaspoon ground ginger,22,0.875
cinnamon,2.0 teaspoon ground cinnamon,22,0.875
baking soda,1.0 teaspoon baking soda,22,0.875
chocolate,"28.0 ounces semisweet chocolate, coarsely chopped",22,0.875
walnut,2.0 cup coarsely chopped toasted walnuts,22,0.875
sugar,powdered sugar,22,0.875
all purpose flour,2.5 cups all purpose flour,24,0.875
baking soda,1.0 teaspoon baking soda,24,0.875
salt,0.25 teaspoon salt,24,0.875
brown sugar,1.5 cup packed golden brown sugar,24,0.875
butter,"1.0 cup 1 stick unsalted butter, room temperature",24,0.875
other,8.0 teaspoons grated orange peel,24,0.875
vanilla,2.0 teaspoon vanilla extract,24,0.875
egg,2.0 large egg,24,0.875
chocolate,"12.0  ounce bars bittersweet chocolate, cut into 1/3 inch chunks",24,0.875
other,"3.0 cups hazelnuts about 6 ounces, toasted, husked, chopped",24,0.875
all purpose flour,5.4 cups all purpose flour,26,0.875
baking soda,2.4 teaspoon baking soda,26,0.875
salt,2.4 teaspoon salt,26,0.875
butter,"1.2 cup 1 stick unsalted butter, room temperature",26,0.875
shortening,1.2 cup solid vegetable shortening,26,0.875
sugar,1.8 cup sugar,26,0.875
brown sugar,1.8 cup packed golden brown sugar,26,0.875
other,2.4 tablespoon sour cream,26,0.875
vanilla,3.6 teaspoons vanilla extract,26,0.875
egg,4.8 large eggs,26,0.875
chocolate chip,2.4 pound 2 2/3 cups semisweet chocolate chips,26,0.875
oat,2.88 cups old fashioned rolled oats,43,0.875
all purpose flour,0.96 cup all purpose flour,43,0.875
wheat flour,0.48 cup whole wheat flour,43,0.875
salt,0.96 teaspoon salt,43,0.875
baking soda,0.48 teaspoon baking soda,43,0.875
butter,"1.92 sticks 1 cup unsalted butter, softened",43,0.875
brown sugar,1.2 cups packed brown sugar,43,0.875
egg,0.96 large egg,43,0.875
other,0.24 cup honey,43,0.875
vanilla,1.92 teaspoons pure vanilla extract,43,0.875
chocolate,"5.76 ounces semisweet chocolate 60 to 65 percent cocoa, coarsely chopped about 1 1/4 cups",43,0.875
other,"0.96 cup crystallized ginger, finely chopped",43,0.875
all purpose flour,2.4 cups all purpose flour,46,0.75
baking soda,0.96 teaspoon baking soda,46,0.75
baking powder,0.48 teaspoon baking powder,46,0.75
salt,0.96 teaspoon salt,46,0.75
butter,1.92 sticks 1 cup unsalted butter,46,0.75
sugar,0.96 cup granulated sugar,46,0.75
brown sugar,0.48 cup firmly packed brown sugar,46,0.75
egg,1.92 large eggs,46,0.75
chocolate,"5.76 ounces fine quality bittersweet chocolate, chopped coarse",46,0.75
other,"17.28 caramels such as kraft, chopped coarse about 1 cup",46,0.75
pecan,0.96 cup coarsely chopped pecans,46,0.75
all purpose flour,3.33333333333 cups all purpose flour,62,0.625
baking soda,1.33333333333 teaspoon baking soda,62,0.625
salt,0.333333333333 teaspoon salt,62,0.625
other,0.333333333333 teaspoon nutmeg,62,0.625
butter,"1.33333333333 cup 2 sticks unsalted butter, room temperature",62,0.625
sugar,1.33333333333 cup sugar,62,0.625
other,0.333333333333 cup unsulfured molasses,62,0.625
egg,2.66666666667 eggs,62,0.625
vanilla,1.33333333333 teaspoon vanilla extract,62,0.625
other,"2.0 cups roasted unsalted cashews about 7 1/2 ounces, chopped",62,0.625
chocolate chip,0.666666666667 cup white chocolate chips,62,0.625
all purpose flour,2.4 cups all purpose flour,79,0.75
baking soda,1.6 teaspoon baking soda,79,0.75
salt,0.8 teaspoon salt,79,0.75
oat,2.4 cups old fashioned rolled oats,79,0.75
butter,"3.2 sticks 1 cup unsalted butter, softened",79,0.75
sugar,1.2 cup granulated sugar,79,0.75
brown sugar,0.8 cup firmly packed light brown sugar,79,0.75
other,0.4 cup nestle's quik powder,79,0.75
egg,3.2 large eggs,79,0.75
vanilla,1.6 teaspoon vanilla,79,0.75
chocolate chip,19.2 ounces miniature semisweet chocolate chips,79,0.75
all purpose flour,2.88 cups all purpose flour,87,0.75
baking soda,0.48 teaspoon baking soda,87,0.75
salt,"about 2.4 teaspoons sea salt, divided",87,0.75
butter,"9.6 ounces unsalted butter, at room temperature",87,0.75
sugar,0.96 cup vanilla sugar,87,0.75
egg,1.92 large eggs,87,0.75
vanilla,0.96 teaspoon vanilla extract,87,0.75
chocolate chip,"11.52 ounces bitter chocolate chips, or bitter chocolate cut in very small pieces",87,0.75
butter,"8.0 cup unsalted butter, at room temperature",88,0.375
egg,16.0 eggs,88,0.375
brown sugar,4.0 cup firmly packed brown sugar,88,0.375
sugar,4.0 cup granulated sugar,88,0.375
vanilla,8.0 tablespoon pure vanilla extract,88,0.375
all purpose flour,16.0 cups all purpose flour,88,0.375
baking soda,4.0 teaspoon baking soda,88,0.375
salt,2.0 teaspoon salt,88,0.375
chocolate chip,8.0 cup semisweet chocolate chips,88,0.375
walnut,8.0 cup coarsely chopped walnuts,88,0.375
cooking spray,"flourless cooking spray, for greasing",89,0.875
sugar,1.0 cup sugar,89,0.875
brown sugar,0.75 cup packed light brown sugar,89,0.875
butter,"1.0 cup 2 sticks unsalted butter, cut into small cubes, at room temperature",89,0.875
all purpose flour,2.5 cups all purpose flour,89,0.875
